,name,cpu0_cumulative_ipc,cpu0_instructions,cpu0_cycles,cpu0_dtlb_total_access,cpu0_dtlb_total_hit,cpu0_dtlb_total_miss,cpu0_dtlb_load_access,cpu0_dtlb_load_hit,cpu0_dtlb_load_miss,cpu0_dtlb_rfo_access,cpu0_dtlb_rfo_hit,cpu0_dtlb_rfo_miss,cpu0_dtlb_prefetch_access,cpu0_dtlb_prefetch_hit,cpu0_dtlb_prefetch_miss,cpu0_dtlb_writeback_access,cpu0_dtlb_writeback_hit,cpu0_dtlb_writeback_miss,cpu0_dtlb_translation_access,cpu0_dtlb_translation_hit,cpu0_dtlb_translation_miss,cpu0_dtlb_prefetch_requested,cpu0_dtlb_prefetch_issued,cpu0_dtlb_prefetch_useful,cpu0_dtlb_prefetch_useless,cpu0_dtlb_average_miss_latency,cpu0_itlb_total_access,cpu0_itlb_total_hit,cpu0_itlb_total_miss,cpu0_itlb_load_access,cpu0_itlb_load_hit,cpu0_itlb_load_miss,cpu0_itlb_rfo_access,cpu0_itlb_rfo_hit,cpu0_itlb_rfo_miss,cpu0_itlb_prefetch_access,cpu0_itlb_prefetch_hit,cpu0_itlb_prefetch_miss,cpu0_itlb_writeback_access,cpu0_itlb_writeback_hit,cpu0_itlb_writeback_miss,cpu0_itlb_translation_access,cpu0_itlb_translation_hit,cpu0_itlb_translation_miss,cpu0_itlb_prefetch_requested,cpu0_itlb_prefetch_issued,cpu0_itlb_prefetch_useful,cpu0_itlb_prefetch_useless,cpu0_itlb_average_miss_latency,cpu0_l1i_total_access,cpu0_l1i_total_hit,cpu0_l1i_total_miss,cpu0_l1i_load_access,cpu0_l1i_load_hit,cpu0_l1i_load_miss,cpu0_l1i_rfo_access,cpu0_l1i_rfo_hit,cpu0_l1i_rfo_miss,cpu0_l1i_prefetch_access,cpu0_l1i_prefetch_hit,cpu0_l1i_prefetch_miss,cpu0_l1i_writeback_access,cpu0_l1i_writeback_hit,cpu0_l1i_writeback_miss,cpu0_l1i_translation_access,cpu0_l1i_translation_hit,cpu0_l1i_translation_miss,cpu0_l1i_prefetch_requested,cpu0_l1i_prefetch_issued,cpu0_l1i_prefetch_useful,cpu0_l1i_prefetch_useless,cpu0_l1i_average_miss_latency,cpu0_stlb_total_access,cpu0_stlb_total_hit,cpu0_stlb_total_miss,cpu0_stlb_load_access,cpu0_stlb_load_hit,cpu0_stlb_load_miss,cpu0_stlb_rfo_access,cpu0_stlb_rfo_hit,cpu0_stlb_rfo_miss,cpu0_stlb_prefetch_access,cpu0_stlb_prefetch_hit,cpu0_stlb_prefetch_miss,cpu0_stlb_writeback_access,cpu0_stlb_writeback_hit,cpu0_stlb_writeback_miss,cpu0_stlb_translation_access,cpu0_stlb_translation_hit,cpu0_stlb_translation_miss,cpu0_stlb_prefetch_requested,cpu0_stlb_prefetch_issued,cpu0_stlb_prefetch_useful,cpu0_stlb_prefetch_useless,cpu0_stlb_average_miss_latency,cpu0_l1d_total_access,cpu0_l1d_total_hit,cpu0_l1d_total_miss,cpu0_l1d_load_access,cpu0_l1d_load_hit,cpu0_l1d_load_miss,cpu0_l1d_rfo_access,cpu0_l1d_rfo_hit,cpu0_l1d_rfo_miss,cpu0_l1d_prefetch_access,cpu0_l1d_prefetch_hit,cpu0_l1d_prefetch_miss,cpu0_l1d_writeback_access,cpu0_l1d_writeback_hit,cpu0_l1d_writeback_miss,cpu0_l1d_translation_access,cpu0_l1d_translation_hit,cpu0_l1d_translation_miss,cpu0_l1d_prefetch_requested,cpu0_l1d_prefetch_issued,cpu0_l1d_prefetch_useful,cpu0_l1d_prefetch_useless,cpu0_l1d_average_miss_latency,cpu0_l2c_total_access,cpu0_l2c_total_hit,cpu0_l2c_total_miss,cpu0_l2c_load_access,cpu0_l2c_load_hit,cpu0_l2c_load_miss,cpu0_l2c_rfo_access,cpu0_l2c_rfo_hit,cpu0_l2c_rfo_miss,cpu0_l2c_prefetch_access,cpu0_l2c_prefetch_hit,cpu0_l2c_prefetch_miss,cpu0_l2c_writeback_access,cpu0_l2c_writeback_hit,cpu0_l2c_writeback_miss,cpu0_l2c_translation_access,cpu0_l2c_translation_hit,cpu0_l2c_translation_miss,cpu0_l2c_prefetch_requested,cpu0_l2c_prefetch_issued,cpu0_l2c_prefetch_useful,cpu0_l2c_prefetch_useless,cpu0_l2c_average_miss_latency,llc_total_access,llc_total_hit,llc_total_miss,llc_load_access,llc_load_hit,llc_load_miss,llc_rfo_access,llc_rfo_hit,llc_rfo_miss,llc_prefetch_access,llc_prefetch_hit,llc_prefetch_miss,llc_writeback_access,llc_writeback_hit,llc_writeback_miss,llc_translation_access,llc_translation_hit,llc_translation_miss,llc_prefetch_requested,llc_prefetch_issued,llc_prefetch_useful,llc_prefetch_useless,llc_average_miss_latency
0,436.cactusADM-1804B,1.08008,500000003,500000003,143601433,130386404,13215029,110045789,100838415,9207374,33555644,29547989,4007655,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1746,6924073,6924073,0,6924073,6924073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,46313672,46313672,0,46313672,46313672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13215029,7092997,6122032,9207374,5387781,3819593,4007655,1705216,2302439,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79754,257897072,253721055,4176017,170705311,168093451,2611860,79789097,79036770,752327,1280655,489064,791591,0,0,0,6122009,6101770,20239,1802113,1339624,526198,265981,256.375,4957484,2261327,2696157,2611323,1205336,1405987,752327,118,752209,792127,255589,536538,781468,780692,776,20239,19592,647,0,0,0,0,364.249,3451187,761045,2690142,1405987,1921,1404066,752209,3346,748863,536538,908,535630,755806,754870,936,647,0,647,0,0,0,0,344.023
1,437.leslie3d-134B,1.38608,500000002,500000002,113227938,113143224,84714,102746464,102682609,63855,10481474,10460615,20859,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5264,5824121,5824064,57,5824121,5824064,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.491,12882302,12881616,686,12882302,12881616,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.453,84771,37234,47537,63912,30640,33272,20859,6594,14265,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3195,167880936,162979546,4901390,155047012,153227517,1819495,9958614,8786567,1172047,2829390,926126,1903264,0,0,0,45920,39336,6584,5604210,5249316,1766275,342710,251.985,6329290,2564711,3764579,1614286,571827,1042459,1171783,250262,921521,2108945,308467,1800478,1427692,1427661,31,6584,6494,90,0,0,0,0,316.61,4793995,1068870,3725125,1042459,11341,1031118,921521,17589,903932,1800478,14052,1786426,1029447,1025887,3560,90,1,89,0,0,0,0,298.741
2,450.soplex-247B,0.301303,500000000,500000000,122099442,118352967,3746475,98217663,95257997,2959666,23881779,23094970,786809,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9498,39918622,39918619,3,39918622,39918619,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.333,2938073,2935249,2824,2938073,2935249,2824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340.503,3746478,3235416,511062,2959669,2491392,468277,786809,744024,42785,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9121,125225366,96589339,28636027,93262636,73047306,20215330,25510634,21792306,3718328,5953716,1273908,4679808,0,0,0,498380,475819,22561,12534178,11174842,3043051,2462354,277.614,38803073,18426736,20376337,19389271,6305730,13083541,3717707,869637,2848070,5504983,1062819,4442164,10168551,10168237,314,22561,20313,2248,0,0,0,0,375.997,26686384,8633741,18052643,13083497,1564761,11518736,2848061,426019,2422042,4442161,544977,3897184,6310417,6097694,212723,2248,290,1958,0,0,0,0,400.691
3,459.GemsFDTD-1320B,0.567231,500000001,500000001,165953718,165200859,752859,144164686,143459548,705138,21789032,21741311,47721,0,0,0,0,0,0,0,0,0,0,0,0,0,34.6745,4126292,4126288,4,4126292,4126288,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.25,18521927,18521817,110,18521927,18521817,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.291,752863,412196,340667,705142,364537,340605,47721,47659,62,0,0,0,0,0,0,0,0,0,0,0,0,0,56.6907,183639216,173214795,10424421,142235878,136052519,6183359,35636260,35636243,17,5427988,1193020,4234968,0,0,0,339090,333013,6077,13902992,13407041,4191637,809002,504.166,14134642,4150645,9983997,5417739,339613,5078126,17,1,16,5000698,95473,4905225,3710111,3710095,16,6077,5463,614,0,0,0,0,558.12,13692424,3802424,9890000,5078126,45948,5032178,16,0,16,4905225,48482,4856743,3708443,3707830,613,614,164,450,0,0,0,0,542.225
4,462.libquantum-714B,0.506462,500000003,500000003,96778917,96572518,206399,76892723,76766090,126633,19886194,19806428,79766,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2426,37505126,37505125,1,37505126,37505125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.0,36,23,13,36,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.462,206400,0,206400,126634,0,126634,79766,0,79766,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24359,108820150,94938790,13881360,75084568,64254307,10830261,29855344,29855250,94,3673838,622933,3050905,0,0,0,206400,206300,100,31591458,26930387,9104367,621475,207.006,22647779,8766510,13881269,4155355,6,4155349,94,0,94,9725824,98,9725726,8766406,8766406,0,100,0,100,0,0,0,0,458.348,22646819,8765733,13881086,4155349,118,4155231,94,0,94,9725726,81,9725645,8765550,8765534,16,100,0,100,0,0,0,0,437.354
5,482.sphinx3-1100B,0.96766,500000000,500000000,98484022,97941585,542437,93120472,92607737,512735,5363550,5333848,29702,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5363,42098371,42098371,0,42098371,42098371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,415472,415174,298,415472,415174,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.987,542437,345370,197067,512735,320161,192574,29702,25209,4493,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92346,92340470,84489600,7850870,80213282,75425001,4788281,7920302,7520994,399308,4015104,1358028,2657076,0,0,0,191782,185577,6205,14468088,13334204,2854491,520869,194.223,8398887,1933526,6465361,4070240,1128123,2942117,399245,79346,319899,3375364,173724,3201640,547833,546791,1042,6205,5542,663,0,0,0,0,241.559,6930637,546016,6384621,2942115,78007,2864108,319899,41987,277912,3201640,30112,3171528,466320,395842,70478,663,68,595,0,0,0,0,223.352
6,602.gcc_s-2226B,0.197009,500000000,500000000,67192286,66497463,694823,64327119,63632938,694181,2865167,2864525,642,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3663,31848241,31848235,6,31848241,31848235,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.667,366211,366147,64,366211,366147,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.719,694829,26265,668564,694187,26014,668173,642,251,391,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7754,104895240,67131418,37763822,72684071,54071960,18612111,7288941,7265328,23613,24253994,5180646,19073348,0,0,0,668234,613484,54750,34242378,32773812,18551246,2710093,140.025,37840047,297262,37542785,16424329,120205,16304124,23487,7146,16341,21261320,47336,21213984,76161,75388,773,54750,47187,7563,0,0,0,0,127.881,37602900,84858,37518042,16304124,17079,16287045,16341,343,15998,21213984,7281,21206703,60888,58969,1919,7563,1186,6377,0,0,0,0,106.952
7,603.bwaves_s-891B,0.470952,500000004,500000004,105573491,105270393,303098,97461707,97182714,278993,8111784,8087679,24105,0,0,0,0,0,0,0,0,0,0,0,0,0,108.215,52035575,52035573,2,52035575,52035573,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648.0,1667486,1667433,53,1667486,1667433,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335.415,303100,96141,206959,278995,73324,205671,24105,22817,1288,0,0,0,0,0,0,0,0,0,0,0,0,0,144.89,89504069,75539230,13964839,66522163,56235243,10286920,18033805,17951474,82331,4741140,1152161,3588979,0,0,0,206961,200352,6609,15176942,12491595,5306581,509917,625.921,16268877,2446132,13822745,8059468,103707,7955761,82331,1,82330,5816484,32196,5784288,2303985,2303880,105,6609,6348,261,0,0,0,0,723.049,16124259,2304540,13819719,7955761,2680,7953081,82330,1,82329,5784288,262,5784026,2301619,2301530,89,261,67,194,0,0,0,0,702.203
8,605.mcf_s-1644B,0.218708,500000002,500000002,217406424,208507857,8898567,126820196,123723462,3096734,90586228,84784395,5801833,0,0,0,0,0,0,0,0,0,0,0,0,0,22.43,53169363,53169344,19,53169363,53169344,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.053,23095602,23095376,226,23095602,23095376,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.549,8898586,2681834,6216752,3096753,2559396,537357,5801833,122438,5679395,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2025,235385106,202809101,32576005,150232886,135684143,14548743,71096643,59213996,11882647,7841900,2146897,5695003,0,0,0,6213677,5764065,449612,11592514,9712493,4594587,1565144,609.217,55945410,31881411,24063999,14083937,6305763,7778174,11882628,824993,11057635,6159762,938319,5221443,23369471,23366918,2553,449612,445418,4194,0,0,0,0,814.288,43821347,21687306,22134041,7778105,2109958,5668147,11057628,81006,10976622,5221437,119671,5101766,19759983,19375952,384031,4194,719,3475,0,0,0,0,862.46
9,619.lbm_s-2677B,0.208483,500000004,500000004,90587603,89902515,685088,40369052,40276088,92964,50218551,49626427,592124,0,0,0,0,0,0,0,0,0,0,0,0,0,505.548,9485995,9485995,0,9485995,9485995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11076275,11076275,0,11076275,11076275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,685088,313353,371735,92964,0,92964,592124,313353,278771,0,0,0,0,0,0,0,0,0,0,0,0,0,914.917,133381037,92877905,40503132,40497168,35894636,4602532,89318254,56019635,33298619,3212826,611084,2601742,0,0,0,352789,352550,239,6209863,3791669,1618235,1111153,796.263,73801765,48758728,25043037,4474889,245,4474644,33298608,15460710,17837898,2729384,244,2729140,33298645,33297528,1117,239,1,238,0,0,0,0,1261.06,42881240,17763618,25117622,4474644,74,4474570,17837898,502,17837396,2729140,149,2728991,17839320,17762889,76431,238,4,234,0,0,0,0,1236.38
10,620.omnetpp_s-141B,0.502671,500000002,500000002,130142073,119743990,10398083,83323150,74142536,9180614,46818923,45601454,1217469,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3244,51676372,50875831,800541,51676372,50875831,800541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.10433,46596620,46339848,256772,46596620,46339848,256772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3973,11198624,8772978,2425646,9981155,8030768,1950387,1217469,742210,475259,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66538,188749536,178596853,10152683,96667681,88461385,8206296,88885350,87735466,1149884,794454,40738,753716,0,0,0,2402051,2359264,42787,1131800,1098189,142463,648847,135.552,15014941,8688860,6326081,8425118,3444455,4980663,1149817,489989,659828,791304,109199,682105,4605915,4603438,2477,42787,41779,1008,0,0,0,0,185.962,9067962,3151747,5916215,4980660,441277,4539383,659828,96378,563450,682105,31960,650145,2744361,2581795,162566,1008,337,671,0,0,0,0,176.399
11,621.wrf_s-6673B,0.881084,500000002,500000002,124803486,124374591,428895,112066853,111728163,338690,12736633,12646428,90205,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5882,18160876,18160521,355,18160876,18160521,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.042,13140358,13126279,14079,13140358,13126279,14079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.808,429250,366741,62509,339045,289563,49482,90205,77178,13027,0,0,0,0,0,0,0,0,0,0,0,0,0,107.322,137488012,128524539,8963473,117370944,112124182,5246762,16811391,15428803,1382588,3251022,924703,2326319,0,0,0,54655,46851,7804,9539648,7454828,2854274,417714,415.745,11940082,5233458,6706624,4315605,1276790,3038815,1381630,350996,1030634,3271887,637323,2634564,2963156,2961259,1897,7804,7090,714,0,0,0,0,610.134,9026108,2813603,6212505,3038813,258573,2780240,1030634,34718,995916,2634561,221597,2412964,2321386,2298592,22794,714,123,591,0,0,0,0,635.997
12,623.xalancbmk_s-10B,0.287784,500000001,500000001,104754387,101420510,3333877,91189657,87961864,3227793,13564730,13458646,106084,0,0,0,0,0,0,0,0,0,0,0,0,0,13.076,59741967,59421123,320844,59741967,59421123,320844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.45913,10606754,9002342,1604412,10606754,9002342,1604412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.4258,3654721,1168313,2486408,3548637,1067596,2481041,106084,100717,5367,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47785,125317816,110434116,14883700,98426016,85314983,13111033,23139336,22943714,195622,1640830,75129,1565701,0,0,0,2111634,2100290,11344,2338165,2306322,187949,1385684,186.128,16859997,3805010,13054987,14707446,3011346,11696100,195448,78311,117137,1573672,335697,1237975,372087,370850,1237,11344,8806,2538,0,0,0,0,191.567,13229986,486809,12743177,11696098,266531,11429567,117137,4144,112993,1237975,46032,1191943,176238,169799,6439,2538,303,2235,0,0,0,0,174.742
13,627.cam4_s-573B,1.1398,500000002,500000002,81933141,81623287,309854,54671070,54438625,232445,27262071,27184662,77409,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8153,36776174,36769919,6255,36776174,36769919,6255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6766,30491670,30282960,208710,30491670,30282960,208710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.8571,316109,267257,48852,238700,228348,10352,77409,38909,38500,0,0,0,0,0,0,0,0,0,0,0,0,0,17.843,104432011,99582308,4849703,61846525,60508997,1337528,41956712,38882740,3073972,580982,144523,436459,0,0,0,47792,46048,1744,1403362,1245938,367005,194994,528.769,8334333,5573799,2760534,1420493,1188712,231781,3073508,669476,2404032,562006,437749,124257,3276582,3276566,16,1744,1296,448,0,0,0,0,898.699,5194121,2505991,2688130,231781,42951,188830,2404032,18209,2385823,124257,33092,91165,2433603,2411661,21942,448,78,370,0,0,0,0,901.339
14,649.fotonik3d_s-10881B,0.537448,500000004,500000004,253747240,251093631,2653609,224395548,221880909,2514639,29351692,29212722,138970,0,0,0,0,0,0,0,0,0,0,0,0,0,70.6828,9380607,9380603,4,9380607,9380603,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.5,31155312,31155105,207,31155312,31155105,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546.329,2653613,823273,1830340,2514643,684307,1830336,138970,138966,4,0,0,0,0,0,0,0,0,0,0,0,0,0,89.3955,298766686,285418054,13348632,256417212,249473517,6943695,32830299,32830166,133,7793511,1430374,6363137,0,0,0,1725664,1683997,41667,15835301,14520331,4183934,2458014,590.096,18248466,5708314,12540152,6665175,552794,6112381,133,117,16,6641862,215295,6426567,4899629,4899619,10,41667,40489,1178,0,0,0,0,621.59,17435943,5899906,11536037,6112381,588580,5523801,16,8,8,6426567,415577,6010990,4895801,4895537,264,1178,204,974,0,0,0,0,652.866
15,654.roms_s-1390B,0.530298,500000004,500000004,138363989,137867680,496309,122437785,122071769,366016,15926204,15795911,130293,0,0,0,0,0,0,0,0,0,0,0,0,0,33.5597,3449135,3449135,0,3449135,3449135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8639949,8638107,1842,8639949,8638107,1842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528.687,496309,209499,286810,366016,128068,237948,130293,81431,48862,0,0,0,0,0,0,0,0,0,0,0,0,0,42.4659,149953693,134845640,15108053,121142014,112931482,8210532,22773981,19996004,2777977,5755770,1684497,4071273,0,0,0,281928,233657,48271,19320627,16977696,5207508,697498,430.806,18634775,5290145,13344630,6378573,1249162,5129411,2777977,37,2777940,5905064,468513,5436551,3524890,3524762,128,48271,47671,600,0,0,0,0,556.162,16856300,3511872,13344428,5129411,245,5129166,2777940,9,2777931,5436551,41,5436510,3511798,3511529,269,600,48,552,0,0,0,0,535.17
